Origin,Price,Q-Score,Processing Method,Coffee Variety,Fragrance,Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Cuppers Correction,Final
Africa,5.6,88.3,Wet Process,Bourbon Types,8.69461236,8.79898346,8.52183806,8.89832006,8.40316666,8.70845216,8.57126986,8.49824706,9.01025856,8.19485176,2,87.9462164
Africa,6.05,88.3,Dry Process,Bourbon Types,8.79448159,8.81703979,8.22964699,9.01216439,9.33127149,8.71154439,8.60927329,7.30199939,9.67121729,7.82136139,2,87.9410721
South America,6.5,88.3,Wet Process,"Caturra Types, Typica Types, Heirloom Types",8.60104898,8.81349808,8.61265428,8.80089528,8.72192248,8.61488878,8.76279978,8.30018578,8.88227998,8.18982658,2,87.9130602
South America,6.4,88.2,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.49999143,8.79812533,8.60847663,8.79672143,9.03623013,8.51383213,8.67004393,8.49738413,8.78630733,8.49288753,1.5,87.8552847
South America,6.25,88.2,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.69397708,8.89808148,8.40720438,9.01572488,9.31325978,8.51404738,8.65921658,8.19123048,9.00964618,7.99761178,1.5,87.8544482
South America,6.75,88.1,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.69240619,8.79652079,8.62411459,9.02687129,9.05383159,8.73390539,8.75745639,8.48331119,8.47016099,8.46142159,1,87.8142261
Decaf,6.4,88.1,Wet Process then SWP Decaf,Heirloom Types,8.5087291,8.6047717,8.2136661,8.5026332,8.723816,8.3011418,8.4573432,7.7963711,8.9999944,8.9915334,3,87.804751
Central America,6.4,88.1,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.58408092,8.79886082,8.53899032,8.81460592,9.05617162,8.62558012,8.75979642,8.48565122,8.47250102,8.46376162,1.5,87.7908258
Africa,7.2,88.1,Other Processes,Bourbon Types,8.29185152,8.60933542,8.89691392,8.72595162,9.50068712,8.61016702,8.47023912,7.98911232,9.00885242,7.99688952,2,87.7602778
Africa,6.95,88.1,Wet Process Kenya Type,Bourbon Types,8.59654397,8.70926537,8.52065247,8.79638167,9.03587497,8.30592217,8.53965727,8.00251737,9.09229817,8.50088657,2,87.7569473
Africa,6.05,88.1,Wet Process,Bourbon Types,8.58482247,8.89965317,8.62351207,9.01729657,9.03804467,8.70938947,8.84901307,8.49917007,8.87991497,7.99918347,1,87.7387313
South America,6.6,88,Wet Process,Caturra Types,8.70494863,8.79548663,8.60582853,8.79408283,9.03360383,8.70494863,8.67573473,8.49472923,8.70040433,8.49023263,1,87.6831397
